System,Replica,Source,Metric,Mean,Std,SEM,Min,Max,Median,CV (%)
CrtM-FSPP,MD,anomalous_high_flexibility,Residue,142.66666666666666,93.33571425534576,31.11190475178192,1.0,283.0,200.0,65.42222961823302
CrtM-FSPP,MD,anomalous_high_flexibility,RMSF,1.3668984553434766,0.24527149228710257,0.08175716409570086,1.1008659415604802,1.8943816234255368,1.2750763468878925,17.94365128794226
CrtM-FSPP,MD,anomalous_high_flexibility,Z_Score,3.1289404776625394,0.990684056274323,0.33022801875810764,2.054399904692525,5.259514886042102,2.7580588150111063,31.661965555011417
CrtM-FSPP,MD,hb_counts,FSPP_Lig1_HB_Count,324.2705555555556,8.0568686860772,0.08492685285630698,295.0,360.0,324.0,2.484613094850315
CrtM-FSPP,MD,hb_counts,FSPP_Lig2_HB_Count,324.2705555555556,8.0568686860772,0.08492685285630698,295.0,360.0,324.0,2.484613094850315
CrtM-FSPP,MD,main_metrics,Protein_RMSD,1.0370865071926205,0.08428013313336333,0.0008883906073455057,0.759621709602918,1.374030980568807,1.0364996782714728,8.126625170498894
CrtM-FSPP,MD,main_metrics,Rg,19.686593298034104,0.0537095262276477,0.0005661481164263933,19.49225263120453,19.90506681534036,19.686169090831807,0.2728228567256028
CrtM-FSPP,MD,main_metrics,FSPP_Lig1_RMSD,1.0482783996152114,0.15357705397233004,0.0016188442896372425,0.4527266761752715,1.7543431177939732,1.0489598632931116,14.65040718464705
CrtM-FSPP,MD,main_metrics,FSPP_Lig2_RMSD,1.2643546406583686,0.3570663339253824,0.0037638096365681982,0.4388900643752543,2.9491579639049657,1.1618969072773466,28.240995243190042
CrtM-FSPP,MD,mg_distances,MG284_FSPP_Lig1,26.65555270643747,1.0070522214566866,0.010615262475118065,25.22634331000985,36.197043757171656,26.464237465071967,3.7780204092840957
CrtM-FSPP,MD,mg_distances,MG284_FSPP_Lig2,21.85901985496506,0.9997056402103648,0.010537822709271881,20.29785628261069,31.35259829392545,21.66237519145828,4.57342390849831
CrtM-FSPP,MD,mg_distances,MG285_FSPP_Lig1,6.616893966575849,0.12412036121351498,0.0013083434847917608,6.103520573864368,7.070214975519745,6.617005534514471,1.8758100377683027
CrtM-FSPP,MD,mg_distances,MG285_FSPP_Lig2,8.985189020095953,0.18475028928871307,0.0019474390417578093,8.235369765280973,9.682644280033228,8.989457933783108,2.0561647492947244
CrtM-FSPP,MD,mg_distances,MG286_FSPP_Lig1,4.043423173195856,0.15309518841371453,0.001613764980666528,3.474493516378577,4.536721711429083,4.046606816876498,3.786276673403704
CrtM-FSPP,MD,mg_distances,MG286_FSPP_Lig2,5.872975386851577,0.14055077154071507,0.0014815352165421097,5.332190831487568,6.423811537963603,5.876648810457091,2.3931782832834663
CrtM-FSPP,MD,rmsf,Residue,155.5,73.90027063549903,4.618766914718689,28.0,283.0,155.5,47.52428979774857
CrtM-FSPP,MD,rmsf,RMSF_CA,0.5856362106757196,0.20143989750705385,0.012589993594190866,0.3064895628740193,1.5288371927776552,0.5314239807620311,34.396762671937275
CrtM-FSPP,MD2,anomalous_high_flexibility,Residue,142.8,56.755264073035555,17.947590367511733,1.0,203.0,147.5,39.74458268419856
CrtM-FSPP,MD2,anomalous_high_flexibility,RMSF,1.5328679591281886,0.23480169825791228,0.07425081649705927,1.306096241034566,1.999199130900602,1.4327621539434943,15.317803262810362
CrtM-FSPP,MD2,anomalous_high_flexibility,Z_Score,2.8962158003224876,0.7961604936626814,0.2517680543018126,2.127283188822225,4.477441399128863,2.556779212488265,27.48968131359654
CrtM-FSPP,MD2,hb_counts,FSPP_Lig1_HB_Count,319.25388888888887,8.54735088192625,0.09009698915845292,290.0,354.0,319.0,2.677289511389794
CrtM-FSPP,MD2,hb_counts,FSPP_Lig2_HB_Count,319.25388888888887,8.54735088192625,0.09009698915845292,290.0,354.0,319.0,2.677289511389794
CrtM-FSPP,MD2,main_metrics,Protein_RMSD,1.1516930818070388,0.10299583958353062,0.0010856714753509499,0.8315897194536755,1.564580265747917,1.1436031946609826,8.942993685603048
CrtM-FSPP,MD2,main_metrics,Rg,19.83188441155313,0.06070384060815505,0.0006398746634719693,19.651212471112306,20.12751451796476,19.828861451156165,0.30609214610383584
CrtM-FSPP,MD2,main_metrics,FSPP_Lig1_RMSD,1.2741771001727527,0.2542306286217625,0.002679826124737211,0.40832034215743,2.267784479900808,1.2590675951785815,19.952534744761458
CrtM-FSPP,MD2,main_metrics,FSPP_Lig2_RMSD,1.353868481215275,0.17062248047374398,0.0017985188610821206,0.6887946497462472,2.7139327139237346,1.3690517537336957,12.602589013711867
CrtM-FSPP,MD2,mg_distances,MG284_FSPP_Lig1,26.038327559207126,0.43700301223031784,0.004606416210007411,24.661875006509177,28.69830359448676,26.007234682410747,1.6783067623549963
CrtM-FSPP,MD2,mg_distances,MG284_FSPP_Lig2,21.406021341089108,0.42008711554761474,0.004428107002735983,20.02417890955608,24.0458642899392,21.376251112027756,1.9624717216424177
CrtM-FSPP,MD2,mg_distances,MG285_FSPP_Lig1,6.7285352228688575,0.13493150250045086,0.0014223029200337654,6.228006203928506,7.237238526263023,6.7243875354005525,2.005362207837561
CrtM-FSPP,MD2,mg_distances,MG285_FSPP_Lig2,8.861891977211648,0.1644305060670013,0.0017332497199528648,8.172254424557513,9.521989160363166,8.859540408322435,1.855478564733516
CrtM-FSPP,MD2,mg_distances,MG286_FSPP_Lig1,3.9685922203608683,0.13849645599256666,0.0014598808293259556,3.297663608206988,4.466323017249792,3.9732575367491263,3.4898132209706603
CrtM-FSPP,MD2,mg_distances,MG286_FSPP_Lig2,6.1590494632297474,0.16101049844269702,0.0016971996742597216,5.5119556742279885,6.746087347524583,6.162426133176304,2.6142101862300136
CrtM-FSPP,MD2,rmsf,Residue,155.5,73.90027063549903,4.618766914718689,28.0,283.0,155.5,47.52428979774857
CrtM-FSPP,MD2,rmsf,RMSF_CA,0.6765674693308434,0.25973008621783944,0.016233130388614965,0.3371411454655893,1.999199130900602,0.6391666802969493,38.3893843543386
CrtM-FSPP,MD3,anomalous_high_flexibility,Residue,128.66666666666666,75.61231528145545,21.82739529089958,1.0,269.0,114.5,58.7660481462089
CrtM-FSPP,MD3,anomalous_high_flexibility,RMSF,1.3919428544537296,0.14063180874340525,0.040596906317314496,1.2663467335369796,1.8180238757905036,1.3646437371060665,10.103274591584901
CrtM-FSPP,MD3,anomalous_high_flexibility,Z_Score,2.5122377707023444,0.5655252412093736,0.16325307512287995,2.0071758134462647,4.225645103789175,2.4024593353626633,22.51081676282855
CrtM-FSPP,MD3,hb_counts,FSPP_Lig1_HB_Count,319.98277777777776,7.978445480414755,0.08410019968528984,291.0,352.0,320.0,2.4933984059465977
CrtM-FSPP,MD3,hb_counts,FSPP_Lig2_HB_Count,319.98277777777776,7.978445480414755,0.08410019968528984,291.0,352.0,320.0,2.4933984059465977
CrtM-FSPP,MD3,main_metrics,Protein_RMSD,1.2009452250244401,0.14891931896920868,0.001569747451812726,0.8213828793122976,1.6682031224988676,1.197527321183085,12.400175783718867
CrtM-FSPP,MD3,main_metrics,Rg,19.87078696627225,0.07933411516685088,0.0008362550002711932,19.58974661672813,20.11802084743973,19.877324958281513,0.399249990961651
CrtM-FSPP,MD3,main_metrics,FSPP_Lig1_RMSD,1.4919234855259755,0.25208891390870336,0.0026572504694320083,0.5616987000177612,2.1527166564047557,1.5199509300806224,16.896906332956462
CrtM-FSPP,MD3,main_metrics,FSPP_Lig2_RMSD,1.6150505030704712,0.2848999419889054,0.003003109073115943,0.7178104337415009,2.767491061547398,1.5819387973504022,17.640311646432398
CrtM-FSPP,MD3,mg_distances,MG284_FSPP_Lig1,25.989297023011144,0.4161631912858613,0.004386745209292197,24.5805697077284,27.973419027413648,25.972401198188443,1.6012868332582715
CrtM-FSPP,MD3,mg_distances,MG284_FSPP_Lig2,21.379522496989512,0.38997903510337834,0.004110739968804779,20.10858743959961,23.72524470321457,21.357146478443838,1.8240773860047248
CrtM-FSPP,MD3,mg_distances,MG285_FSPP_Lig1,6.78243609597477,0.1404029683856007,0.0014799772344903745,6.296820312916642,7.279295649043228,6.784470880904566,2.070096443207579
CrtM-FSPP,MD3,mg_distances,MG285_FSPP_Lig2,8.88873697529692,0.2043821872995555,0.002154377416779113,8.184759322886396,9.671753783227055,8.883956892407408,2.299338903463597
CrtM-FSPP,MD3,mg_distances,MG286_FSPP_Lig1,3.9834176452725742,0.14183373740304636,0.0014950588641594728,3.51720044076574,4.545749939935952,3.981960082550607,3.560604235696231
CrtM-FSPP,MD3,mg_distances,MG286_FSPP_Lig2,6.20269103229031,0.17977706063195611,0.0018950166088239036,5.501595118864782,6.767868523946169,6.214353958473966,2.8983720081503788
CrtM-FSPP,MD3,rmsf,Residue,155.5,73.90027063549903,4.618766914718689,28.0,283.0,155.5,47.52428979774857
CrtM-FSPP,MD3,rmsf,RMSF_CA,0.7754080489148545,0.24188187780504236,0.015117617362815148,0.3710601084150237,1.8180238757905036,0.7396520925446227,31.194140703535922
CrtM-GGPP,MD,anomalous_high_flexibility,Residue,207.06666666666666,89.7124790031403,23.16366247507633,1.0,282.0,262.0,43.32540840460736
CrtM-GGPP,MD,anomalous_high_flexibility,RMSF,1.118962405001265,0.07988399355242469,0.020625958443805433,1.0318457960700278,1.3279974206378489,1.0879781975780265,7.139113270953404
CrtM-GGPP,MD,anomalous_high_flexibility,Z_Score,2.4737826189845813,0.40087005799572456,0.10350420390737616,2.036618194402607,3.522752194928262,2.3182991425788364,16.20474066392586
CrtM-GGPP,MD,hb_counts,GGPP_Lig1_HB_Count,328.6893333333333,7.862268374966603,0.08287558546801746,301.0,357.0,329.0,2.3920059392354087
CrtM-GGPP,MD,hb_counts,GGPP_Lig2_HB_Count,328.6893333333333,7.862268374966603,0.08287558546801746,301.0,357.0,329.0,2.3920059392354087
CrtM-GGPP,MD,main_metrics,Protein_RMSD,0.9357599896629331,0.10957326676029053,0.0011550036454257907,0.6404224402472678,1.3841190403654882,0.9268105832857925,11.709548171616051
CrtM-GGPP,MD,main_metrics,Rg,19.78372441491898,0.0690425682973809,0.000727772571091524,19.557665995615057,20.04752298473884,19.78338160235239,0.34898670669571014
CrtM-GGPP,MD,main_metrics,GGPP_Lig1_RMSD,1.054777427690766,0.1879167059144077,0.0019808160036185424,0.483088925044602,2.275121257331404,1.0346794275707516,17.81576861440953
CrtM-GGPP,MD,main_metrics,GGPP_Lig2_RMSD,2.0065676053698547,0.6061813204964668,0.006389712159391152,0.5430614511362842,3.626947531484933,2.071098053950839,30.20986279626169
CrtM-GGPP,MD,mg_distances,MG284_GGPP_Lig1,25.449975454949403,0.5123264882971547,0.00540039536218203,23.710548012226123,28.170838326015343,25.41053067529037,2.0130726224237656
CrtM-GGPP,MD,mg_distances,MG284_GGPP_Lig2,21.57135433823125,0.5870406494392078,0.006187951771107813,19.76802480495096,24.131674943878348,21.514977282498364,2.7213898591373393
CrtM-GGPP,MD,mg_distances,MG285_GGPP_Lig1,7.0709580224718795,0.1683779279113688,0.0017748591996652114,6.412186529156787,7.709403342622614,7.073503144222064,2.3812604653606315
CrtM-GGPP,MD,mg_distances,MG285_GGPP_Lig2,9.349523439077142,0.3554289846772125,0.0037465504600702614,7.918107640800756,10.312679358552362,9.3853514869121,3.801573277966942
CrtM-GGPP,MD,mg_distances,MG286_GGPP_Lig1,4.469400701854756,0.1602205579216419,0.0016888729700510734,3.916436251496005,5.132093196499782,4.462523135083092,3.584833148998075
CrtM-GGPP,MD,mg_distances,MG286_GGPP_Lig2,7.054985098462251,0.2560590581927956,0.0026990994646894423,6.223514465187288,7.792839028404927,7.060905209571338,3.629476953092472
CrtM-GGPP,MD,rmsf,Residue,155.5,73.90027063549903,4.618766914718689,28.0,283.0,155.5,47.52428979774857
CrtM-GGPP,MD,rmsf,RMSF_CA,0.613472371456786,0.18915844334641377,0.01182240270915086,0.3404526107248393,1.3279974206378489,0.5618353362922541,30.83406069245262
CrtM-GGPP,MD2,anomalous_high_flexibility,Residue,140.41666666666666,78.77971220787465,22.74174402494884,1.0,262.0,147.5,56.1042460827594
CrtM-GGPP,MD2,anomalous_high_flexibility,RMSF,1.3570805277630174,0.2724944739735034,0.07866237895064383,1.1085190985683535,1.9892983752257871,1.2285423747690658,20.079462375211993
CrtM-GGPP,MD2,anomalous_high_flexibility,Z_Score,3.0956801615286564,1.1833751807308275,0.3416109895736327,2.016240193786228,5.841243763582683,2.537471190124651,38.226661637630976
CrtM-GGPP,MD2,hb_counts,GGPP_Lig1_HB_Count,322.11688888888887,8.152566282322047,0.08593559409209663,284.0,350.0,322.0,2.530934130912396
CrtM-GGPP,MD2,hb_counts,GGPP_Lig2_HB_Count,322.11688888888887,8.152566282322047,0.08593559409209663,284.0,350.0,322.0,2.530934130912396
CrtM-GGPP,MD2,main_metrics,Protein_RMSD,1.0677630836815446,0.0857140235513353,0.0009035051394651132,0.8313392372309721,1.472189433652844,1.0582261716126151,8.027438376667002
CrtM-GGPP,MD2,main_metrics,Rg,19.726178884717214,0.0677280492923428,0.0007139163241465282,19.47208191004796,20.01930853757296,19.725003463311857,0.34334094650644614
CrtM-GGPP,MD2,main_metrics,GGPP_Lig1_RMSD,1.5401641528629204,0.23134399345800377,0.002438579807754617,0.6622024184331152,2.3948166728681377,1.5813712075401778,15.020736135688656
CrtM-GGPP,MD2,main_metrics,GGPP_Lig2_RMSD,1.631500990281434,0.5971418568484056,0.006294427846210591,0.7873758648137291,4.021876707445903,1.4083244689869354,36.60076582272859
CrtM-GGPP,MD2,mg_distances,MG284_GGPP_Lig1,25.366211871162214,0.4251300310088375,0.004481263999086458,23.978004991614863,27.60499518457011,25.348778455209985,1.6759697236943372
CrtM-GGPP,MD2,mg_distances,MG284_GGPP_Lig2,21.04128357433811,0.3833823597104547,0.004041204904716695,19.805800336601425,22.91620714278818,21.028603159370157,1.8220483477444636
CrtM-GGPP,MD2,mg_distances,MG285_GGPP_Lig1,7.201028560683432,0.2104151507390403,0.002217970435143431,6.282806990110759,7.968674757425044,7.218113718550596,2.922015222767986
CrtM-GGPP,MD2,mg_distances,MG285_GGPP_Lig2,9.652203407278941,0.272601030208847,0.0028734671598944083,8.662729165828367,10.524638032732929,9.66134455510371,2.8242362775247
CrtM-GGPP,MD2,mg_distances,MG286_GGPP_Lig1,4.252556227839434,0.2251644589653705,0.0023734417948336364,3.4908730394622176,4.94166892865591,4.25992246358512,5.2948026293298
CrtM-GGPP,MD2,mg_distances,MG286_GGPP_Lig2,7.51385914142509,0.23795096122205428,0.0025082233629603154,6.367050194280969,8.184070105991427,7.550847522147545,3.166827548179511
CrtM-GGPP,MD2,rmsf,Residue,155.5,73.90027063549903,4.618766914718689,28.0,283.0,155.5,47.52428979774857
CrtM-GGPP,MD2,rmsf,RMSF_CA,0.6338939390743763,0.22007106397462337,0.01375444149841396,0.3399679577676684,1.9892983752257871,0.5861358002247743,34.71733209753909
CrtM-GGPP,MD3,anomalous_high_flexibility,Residue,120.125,118.98890441969789,42.068930600563164,0.0,281.0,75.5,99.05423885094518
CrtM-GGPP,MD3,anomalous_high_flexibility,RMSF,1.6780787490739282,0.5526300654653603,0.19538423338906097,1.2381983642677368,3.0025166188381918,1.4127964539696047,32.932308198905275
CrtM-GGPP,MD3,anomalous_high_flexibility,Z_Score,3.9203291351846232,2.1303963883262975,0.7532088664004272,2.224584293112812,9.02605506403426,2.8976622940288617,54.34228389668024
CrtM-GGPP,MD3,hb_counts,GGPP_Lig1_HB_Count,326.71422222222225,8.4494114164213,0.08906461654573582,290.0,361.0,327.0,2.5861780240084675
CrtM-GGPP,MD3,hb_counts,GGPP_Lig2_HB_Count,326.71422222222225,8.4494114164213,0.08906461654573582,290.0,361.0,327.0,2.5861780240084675
CrtM-GGPP,MD3,main_metrics,Protein_RMSD,1.072022113690622,0.09962724765764594,0.0010501633987061209,0.7624011891735355,1.4702437661879924,1.0643834521570172,9.293394826965077
CrtM-GGPP,MD3,main_metrics,Rg,19.759723117548294,0.0563519960237541,0.0005940021937727165,19.529733726156305,20.00310192548632,19.758457122891883,0.2851861622175707
CrtM-GGPP,MD3,main_metrics,GGPP_Lig1_RMSD,1.2733778269954903,0.24646049911829138,0.002597921768252405,0.7093002648335572,2.554768858175797,1.2294221245696053,19.35486026954074
CrtM-GGPP,MD3,main_metrics,GGPP_Lig2_RMSD,2.901371240857976,0.6094627297220462,0.006424301249684219,1.6044641406648197,4.402575748793516,3.074398252557547,21.006023673889437
CrtM-GGPP,MD3,mg_distances,MG284_GGPP_Lig1,25.667186921987508,0.4443808458601943,0.004684185404901402,23.81064489379911,27.53521084853341,25.655236741727613,1.7313188516172002
CrtM-GGPP,MD3,mg_distances,MG284_GGPP_Lig2,21.49566893864432,0.5688138644419394,0.0059958245877292995,19.76182305280193,23.64731461369928,21.45846303274014,2.6461789398856133
CrtM-GGPP,MD3,mg_distances,MG285_GGPP_Lig1,7.177198758049126,0.3219036028926181,0.003393161907183465,6.198367386896004,7.937539760198864,7.243560021514794,4.485086922409774
CrtM-GGPP,MD3,mg_distances,MG285_GGPP_Lig2,9.464702356934113,0.6614474558400113,0.006972268376593595,7.606651629378886,10.867296407843025,9.535395219749594,6.98857112347982
CrtM-GGPP,MD3,mg_distances,MG286_GGPP_Lig1,4.513670078433527,0.3404633039393184,0.0035887983338480788,3.5116423271281967,5.659076629835655,4.55506653302659,7.54293729987187
CrtM-GGPP,MD3,mg_distances,MG286_GGPP_Lig2,7.52128262893407,0.4164729665075783,0.004390010526836562,6.395200034040835,8.4521662145474,7.5161878024813245,5.537259893750351
